Spectrum #,Spectrum ID,Neel,Sarayu,Reagen,Brenda,ra,dec,slit,i_mag,targetnum,name,side
98.0,slitA098_SDSSJ112705.66+422157.1t100890.fits,,0.2516,0.251,,171.773611,42.365866,1001,19.30876922607422,10636,SDSSJ112705.66+422157.1,A
99.0,slitA099_SDSSJ112705.66+422157.1t100891.fits,similar to before,0.2516,0.251,,171.773611,42.365866,443,19.30876922607422,767,SDSSJ112705.66+422157.1,A
99.0,slitA099_SDSSJ112705.66+422157.1t100891.fits,similar to before,0.2516,0.251,,171.773611,42.365866,1001,19.30876922607422,10636,SDSSJ112705.66+422157.1,A
100.0,slitA100_SDSSJ112706.15+422138.7t100892.fits,,0.1889,0.188,,171.775663,42.36077,446,21.69985008239746,779,SDSSJ112706.15+422138.7,A
100.0,slitA100_SDSSJ112706.15+422138.7t100892.fits,,0.1889,0.188,,171.775663,42.36077,1004,21.69985008239746,10648,SDSSJ112706.15+422138.7,A
101.0,slitA101_SDSSJ112706.15+422138.7t100893.fits,similar to before?,0.1889,0.188,,171.775663,42.36077,446,21.69985008239746,779,SDSSJ112706.15+422138.7,A
101.0,slitA101_SDSSJ112706.15+422138.7t100893.fits,similar to before?,0.1889,0.188,,171.775663,42.36077,1004,21.69985008239746,10648,SDSSJ112706.15+422138.7,A
102.0,slitA102_SDSSJ112647.25+422516.3t100894.fits,re-try,0.508?,?,,171.696906,42.421222,196,22.519920349121097,222,SDSSJ112647.25+422516.3,A
102.0,slitA102_SDSSJ112647.25+422516.3t100894.fits,re-try,0.508?,?,,171.696906,42.421222,753,22.519920349121097,10225,SDSSJ112647.25+422516.3,A
103.0,slitA103_SDSSJ112647.25+422516.3t100895.fits,re-try (similar to before),0.508?,?,,171.696906,42.421222,196,22.519920349121097,222,SDSSJ112647.25+422516.3,A
103.0,slitA103_SDSSJ112647.25+422516.3t100895.fits,re-try (similar to before),0.508?,?,,171.696906,42.421222,753,22.519920349121097,10225,SDSSJ112647.25+422516.3,A
104.0,slitA104_SDSSJ112648.23+422453.4t100896.fits,,?,?,,171.70099,42.414856,148,18.35055923461914,167,SDSSJ112648.23+422453.4,A
104.0,slitA104_SDSSJ112648.23+422453.4t100896.fits,,?,?,,171.70099,42.414856,703,18.35055923461914,10168,SDSSJ112648.23+422453.4,A
105.0,slitA105_SDSSJ112648.23+422453.4t100897.fits,,?,?,,171.70099,42.414856,148,18.35055923461914,167,SDSSJ112648.23+422453.4,A
105.0,slitA105_SDSSJ112648.23+422453.4t100897.fits,,?,?,,171.70099,42.414856,703,18.35055923461914,10168,SDSSJ112648.23+422453.4,A
106.0,slitA106_SDSSJ112651.36+422401.3t100898.fits,,0.545,0.545,,171.714039,42.400379,569,21.565269470214844,1045,SDSSJ112651.36+422401.3,A
106.0,slitA106_SDSSJ112651.36+422401.3t100898.fits,,0.545,0.545,,171.714039,42.400379,1127,21.565269470214844,11059,SDSSJ112651.36+422401.3,A
107.0,slitA107_SDSSJ112651.36+422401.3t100899.fits,similar to before,0.544,0.544,,171.714039,42.400379,569,21.565269470214844,1045,SDSSJ112651.36+422401.3,A
107.0,slitA107_SDSSJ112651.36+422401.3t100899.fits,similar to before,0.544,0.544,,171.714039,42.400379,1127,21.565269470214844,11059,SDSSJ112651.36+422401.3,A
108.0,slitA108_SDSSJ112658.70+422216.8t100900.fits,,?,?,,171.744607,42.371345,486,22.98944091796875,953,SDSSJ112658.70+422216.8,A
108.0,slitA108_SDSSJ112658.70+422216.8t100900.fits,,?,?,,171.744607,42.371345,1044,22.98944091796875,10967,SDSSJ112658.70+422216.8,A
109.0,slitA109_SDSSJ112658.70+422216.8t100901.fits,,?,?,,171.744607,42.371345,486,22.98944091796875,953,SDSSJ112658.70+422216.8,A
109.0,slitA109_SDSSJ112658.70+422216.8t100901.fits,,?,?,,171.744607,42.371345,1044,22.98944091796875,10967,SDSSJ112658.70+422216.8,A
110.0,slitA110_SDSSJ112656.81+422229.4t100902.fits,,0.8144,0.815,,171.736743,42.374852,572,21.776599884033203,1048,SDSSJ112656.81+422229.4,A
110.0,slitA110_SDSSJ112656.81+422229.4t100902.fits,,0.8144,0.815,,171.736743,42.374852,1130,21.776599884033203,11062,SDSSJ112656.81+422229.4,A
111.0,slitA111_SDSSJ112656.81+422229.4t100903.fits,similar to before,0.815,0.815,,171.736743,42.374852,572,21.776599884033203,1048,SDSSJ112656.81+422229.4,A
111.0,slitA111_SDSSJ112656.81+422229.4t100903.fits,similar to before,0.815,0.815,,171.736743,42.374852,1130,21.776599884033203,11062,SDSSJ112656.81+422229.4,A
112.0,slitA112_SDSSJ112650.05+422340.6t100904.fits,,0.3482,0.348,,171.708558,42.39463,479,21.36552047729492,946,SDSSJ112650.05+422340.6,A
112.0,slitA112_SDSSJ112650.05+422340.6t100904.fits,,0.3482,0.348,,171.708558,42.39463,1037,21.36552047729492,10960,SDSSJ112650.05+422340.6,A
113.0,slitA113_SDSSJ112650.05+422340.6t100905.fits,similar to before,0.348,0.348,,171.708558,42.39463,479,21.36552047729492,946,SDSSJ112650.05+422340.6,A
113.0,slitA113_SDSSJ112650.05+422340.6t100905.fits,similar to before,0.348,0.348,,171.708558,42.39463,1037,21.36552047729492,10960,SDSSJ112650.05+422340.6,A
114.0,slitA114_SDSSJ112653.94+422241.9t100906.fits,,0.2929,0.292,,171.724755,42.378309,481,20.739089965820312,948,SDSSJ112653.94+422241.9,A
114.0,slitA114_SDSSJ112653.94+422241.9t100906.fits,,0.2929,0.292,,171.724755,42.378309,1039,20.739089965820312,10962,SDSSJ112653.94+422241.9,A
115.0,slitA115_SDSSJ112653.94+422241.9t100907.fits,similar to before,0.2929,0.292,,171.724755,42.378309,481,20.739089965820312,948,SDSSJ112653.94+422241.9,A
115.0,slitA115_SDSSJ112653.94+422241.9t100907.fits,similar to before,0.2929,0.292,,171.724755,42.378309,1039,20.739089965820312,10962,SDSSJ112653.94+422241.9,A
116.0,slitA116_SDSSJ112656.37+422159.1t100908.fits,,?,?,,171.734886,42.366442,333,20.793190002441406,395,SDSSJ112656.37+422159.1,A
116.0,slitA116_SDSSJ112656.37+422159.1t100908.fits,,?,?,,171.734886,42.366442,891,20.793190002441406,10400,SDSSJ112656.37+422159.1,A
117.0,slitA117_SDSSJ112656.37+422159.1t100909.fits,,?,?,,171.734886,42.366442,333,20.793190002441406,395,SDSSJ112656.37+422159.1,A
